ID,session,run,Variable,Value,mean_value,subject_variable,row_number
38,1,2,aor,-0.419,0.246,38_aor,76
39,1,1,aor,1.422,0.246,39_aor,77
39,1,2,aor,-0.731,0.246,39_aor,78
40,1,1,aor,-0.841,0.246,40_aor,79
40,1,2,aor,-0.303,0.246,40_aor,80
41,1,1,aor,-0.073,0.246,41_aor,81
41,1,2,aor,1.229,0.246,41_aor,82
42,1,1,aor,0.059,0.246,42_aor,83
42,1,2,aor,-1.316,0.246,42_aor,84
43,1,1,aor,1.276,0.246,43_aor,85
43,1,2,aor,0.155,0.246,43_aor,86
44,1,1,aor,-1.186,0.246,44_aor,87
44,1,2,aor,1.247,0.246,44_aor,88
45,1,1,aor,-1.34,0.246,45_aor,89
45,1,2,aor,0.027,0.246,45_aor,90
46,1,1,aor,-0.856,0.246,46_aor,91
46,1,2,aor,-0.613,0.246,46_aor,92
47,1,1,aor,0.921,0.246,47_aor,93
47,1,2,aor,-1.031,0.246,47_aor,94
48,1,1,aor,0.979,0.246,48_aor,95
48,1,2,aor,0.933,0.246,48_aor,96
49,1,1,aor,-0.391,0.246,49_aor,97
49,1,2,aor,-1.392,0.246,49_aor,98
50,1,1,aor,-0.239,0.246,50_aor,99
50,1,2,aor,-1.295,0.246,50_aor,100
51,1,1,aor,-0.019,0.246,51_aor,101
51,1,2,aor,0.152,0.246,51_aor,102
52,1,1,aor,-1.501,0.246,52_aor,103
52,1,2,aor,-0.742,0.246,52_aor,104
53,1,1,aor,0.97,0.246,53_aor,105
53,1,2,aor,-0.704,0.246,53_aor,106
54,1,1,aor,-0.769,0.246,54_aor,107
54,1,2,aor,-0.763,0.246,54_aor,108
55,1,1,aor,-0.574,0.246,55_aor,109
55,1,2,aor,0.174,0.246,55_aor,110
56,1,1,aor,0.716,0.246,56_aor,111
56,1,2,aor,-0.219,0.246,56_aor,112
57,1,1,aor,0.911,0.246,57_aor,113
57,1,2,aor,-1.407,0.246,57_aor,114
58,1,1,aor,0.815,0.246,58_aor,115
58,1,2,aor,-0.026,0.246,58_aor,116
59,1,1,aor,-1.603,0.246,59_aor,117
59,1,2,aor,1.368,0.246,59_aor,118
60,1,1,aor,1.394,0.246,60_aor,119
60,1,2,aor,-0.014,0.246,60_aor,120
61,1,1,aor,0.836,0.246,61_aor,121
61,1,2,aor,-0.343,0.246,61_aor,122
62,1,1,aor,1.529,0.246,62_aor,123
62,1,2,aor,1.439,0.246,62_aor,124
63,1,1,aor,-1.05,0.246,63_aor,125
63,1,2,aor,-1.296,0.246,63_aor,126
64,1,1,aor,-0.115,0.246,64_aor,127
64,1,2,aor,0.607,0.246,64_aor,128
65,1,1,aor,-0.821,0.246,65_aor,129
65,1,2,aor,1.213,0.246,65_aor,130
66,1,1,aor,0.433,0.246,66_aor,131
66,1,2,aor,1.557,0.246,66_aor,132
67,1,1,aor,-0.801,0.246,67_aor,133
67,1,2,aor,-0.627,0.246,67_aor,134
68,1,1,aor,1.183,0.246,68_aor,135
68,1,2,aor,1.351,0.246,68_aor,136
69,1,1,aor,1.691,0.246,69_aor,137
69,1,2,aor,-1.497,0.246,69_aor,138
70,1,1,aor,0.667,0.246,70_aor,139
70,1,2,aor,0.916,0.246,70_aor,140
71,1,1,aor,-0.903,0.246,71_aor,141
71,1,2,aor,-1.334,0.246,71_aor,142
72,1,1,aor,-0.811,0.246,72_aor,143
72,1,2,aor,-0.551,0.246,72_aor,144
73,1,1,aor,-1.592,0.246,73_aor,145
73,1,2,aor,0.755,0.246,73_aor,146
74,1,1,aor,1.66,0.246,74_aor,147
74,1,2,aor,-0.535,0.246,74_aor,148
75,1,1,aor,0.505,0.246,75_aor,149
75,1,2,aor,-0.724,0.246,75_aor,150
76,1,1,aor,-0.886,0.246,76_aor,151
76,1,2,aor,1.572,0.246,76_aor,152
77,1,1,aor,-0.514,0.246,77_aor,153
77,1,2,aor,-1.05,0.246,77_aor,154
78,1,1,aor,-1.152,0.246,78_aor,155
78,1,2,aor,0.02,0.246,78_aor,156
79,1,1,aor,0.551,0.246,79_aor,157
79,1,2,aor,0.706,0.246,79_aor,158
80,1,1,aor,-1.246,0.246,80_aor,159
80,1,2,aor,-0.493,0.246,80_aor,160
81,1,1,aor,0.515,0.246,81_aor,161
81,1,2,aor,-1.473,0.246,81_aor,162
82,1,1,aor,-0.265,0.246,82_aor,163
82,1,2,aor,1.042,0.246,82_aor,164
83,1,1,aor,0.544,0.246,83_aor,165
83,1,2,aor,1.543,0.246,83_aor,166
84,1,1,aor,0.069,0.246,84_aor,167
84,1,2,aor,1.475,0.246,84_aor,168
85,1,1,aor,1.13,0.246,85_aor,169
85,1,2,aor,1.618,0.246,85_aor,170
86,1,1,aor,0.346,0.246,86_aor,171
86,1,2,aor,1.592,0.246,86_aor,172
87,1,1,aor,-1.576,0.246,87_aor,173
87,1,2,aor,0.228,0.246,87_aor,174
88,1,1,aor,-0.6,0.246,88_aor,175
88,1,2,aor,1.078,0.246,88_aor,176
89,1,1,aor,1.361,0.246,89_aor,177
89,1,2,aor,-0.234,0.246,89_aor,178
90,1,1,aor,-0.564,0.246,90_aor,179
90,1,2,aor,1.026,0.246,90_aor,180
91,1,1,aor,-0.208,0.246,91_aor,181
91,1,2,aor,1.166,0.246,91_aor,182
92,1,1,aor,-0.775,0.246,92_aor,183
92,1,2,aor,-0.752,0.246,92_aor,184
93,1,1,aor,-1.369,0.246,93_aor,185
93,1,2,aor,0.985,0.246,93_aor,186
94,1,1,aor,0.674,0.246,94_aor,187
94,1,2,aor,1.041,0.246,94_aor,188
95,1,1,aor,-1.358,0.246,95_aor,189
95,1,2,aor,-0.225,0.246,95_aor,190
96,1,1,aor,-1.15,0.246,96_aor,191
96,1,2,aor,-0.899,0.246,96_aor,192
97,1,1,aor,-1.008,0.246,97_aor,193
97,1,2,aor,-1.196,0.246,97_aor,194
98,1,1,aor,0.322,0.246,98_aor,195
98,1,2,aor,1.232,0.246,98_aor,196
99,1,1,aor,1.402,0.246,99_aor,197
99,1,2,aor,1.476,0.246,99_aor,198
100,1,1,aor,-1.232,0.246,100_aor,199
100,1,2,aor,0.184,0.246,100_aor,200
101,1,1,aor,-1.311,0.246,101_aor,201
101,1,2,aor,-1.119,0.246,101_aor,202
102,1,1,aor,-1.527,0.246,102_aor,203
102,1,2,aor,-1.567,0.246,102_aor,204
103,1,1,aor,-1.182,0.246,103_aor,205
103,1,2,aor,-1.425,0.246,103_aor,206
104,1,1,aor,0.239,0.246,104_aor,207
104,1,2,aor,-0.974,0.246,104_aor,208
105,1,1,aor,0.913,0.246,105_aor,209
105,1,2,aor,0.401,0.246,105_aor,210
106,1,1,aor,0.117,0.246,106_aor,211
106,1,2,aor,-1.29,0.246,106_aor,212
107,1,1,aor,-1.402,0.246,107_aor,213
107,1,2,aor,-1.232,0.246,107_aor,214
108,1,1,aor,0.113,0.246,108_aor,215
108,1,2,aor,0.864,0.246,108_aor,216
109,1,1,aor,-0.381,0.246,109_aor,217
109,1,2,aor,0.588,0.246,109_aor,218
110,1,1,aor,0.034,0.246,110_aor,219
110,1,2,aor,-0.719,0.246,110_aor,220
111,1,1,aor,-0.622,0.246,111_aor,221
111,1,2,aor,-1.329,0.246,111_aor,222
112,1,1,aor,0.956,0.246,112_aor,223
112,1,2,aor,1.129,0.246,112_aor,224
113,1,1,aor,-1.021,0.246,113_aor,225
113,1,2,aor,0.215,0.246,113_aor,226
114,1,1,aor,-1.041,0.246,114_aor,227
114,1,2,aor,0.299,0.246,114_aor,228
115,1,1,aor,1.308,0.246,115_aor,229
115,1,2,aor,0.976,0.246,115_aor,230
116,1,1,aor,-0.13,0.246,116_aor,231
116,1,2,aor,-0.928,0.246,116_aor,232
117,1,1,aor,0.062,0.246,117_aor,233
117,1,2,aor,1.722,0.246,117_aor,234
118,1,1,aor,-1.477,0.246,118_aor,235
118,1,2,aor,0.603,0.246,118_aor,236
119,1,1,aor,-0.189,0.246,119_aor,237
119,1,2,aor,0.974,0.246,119_aor,238
120,1,1,aor,1.259,0.246,120_aor,239
120,1,2,aor,0.755,0.246,120_aor,240
121,1,1,aor,-0.484,0.246,121_aor,241
121,1,2,aor,1.06,0.246,121_aor,242
122,1,1,aor,-0.387,0.246,122_aor,243
122,1,2,aor,0.496,0.246,122_aor,244
123,1,1,aor,0.556,0.246,123_aor,245
123,1,2,aor,-0.549,0.246,123_aor,246
124,1,1,aor,-1.097,0.246,124_aor,247
124,1,2,aor,-0.703,0.246,124_aor,248
125,1,1,aor,-0.655,0.246,125_aor,249
125,1,2,aor,1.181,0.246,125_aor,250
126,1,1,aor,-0.625,0.246,126_aor,251
126,1,2,aor,0.582,0.246,126_aor,252
127,1,1,aor,0.471,0.246,127_aor,253
127,1,2,aor,0.659,0.246,127_aor,254
128,1,1,aor,1.604,0.246,128_aor,255
128,1,2,aor,-0.267,0.246,128_aor,256
129,1,1,aor,1.071,0.246,129_aor,257
129,1,2,aor,1.258,0.246,129_aor,258
130,1,1,aor,0.931,0.246,130_aor,259
130,1,2,aor,-0.472,0.246,130_aor,260
131,1,1,aor,0.975,0.246,131_aor,261
131,1,2,aor,1.489,0.246,131_aor,262
132,1,1,aor,-0.772,0.246,132_aor,263
132,1,2,aor,-0.582,0.246,132_aor,264
133,1,1,aor,1.595,0.246,133_aor,265
133,1,2,aor,-0.945,0.246,133_aor,266
134,1,1,aor,-0.987,0.246,134_aor,267
134,1,2,aor,0.295,0.246,134_aor,268
135,1,1,aor,-0.775,0.246,135_aor,269
135,1,2,aor,0.285,0.246,135_aor,270
136,1,1,aor,1.601,0.246,136_aor,271
136,1,2,aor,1.492,0.246,136_aor,272
137,1,1,aor,-0.339,0.246,137_aor,273
137,1,2,aor,-1.406,0.246,137_aor,274
138,1,1,aor,0.525,0.246,138_aor,275
138,1,2,aor,1.003,0.246,138_aor,276
139,1,1,aor,-1.195,0.246,139_aor,277
139,1,2,aor,0.331,0.246,139_aor,278
140,1,1,aor,0.171,0.246,140_aor,279
140,1,2,aor,1.059,0.246,140_aor,280
141,1,1,aor,-1.404,0.246,141_aor,281
141,1,2,aor,-0.242,0.246,141_aor,282
142,1,1,aor,1.324,0.246,142_aor,283
142,1,2,aor,0.739,0.246,142_aor,284
143,1,1,aor,-0.798,0.246,143_aor,285
143,1,2,aor,-0.894,0.246,143_aor,286
144,1,1,aor,-1.2,0.246,144_aor,287
144,1,2,aor,1.201,0.246,144_aor,288
145,1,1,aor,-1.182,0.246,145_aor,289
145,1,2,aor,-1.477,0.246,145_aor,290
146,1,1,aor,-0.465,0.246,146_aor,291
146,1,2,aor,-0.336,0.246,146_aor,292
147,1,1,aor,0.68,0.246,147_aor,293
147,1,2,aor,0.732,0.246,147_aor,294
148,1,1,aor,-1.213,0.246,148_aor,295
148,1,2,aor,1.222,0.246,148_aor,296
149,1,1,aor,-1.017,0.246,149_aor,297
149,1,2,aor,0.409,0.246,149_aor,298
150,1,1,aor,-0.248,0.246,150_aor,299
150,1,2,aor,-0.525,0.246,150_aor,300
1,1,1,aqi,0.928,0.547,1_aqi,301
1,1,2,aqi,-0.097,0.547,1_aqi,302
2,1,1,aqi,-0.718,0.547,2_aqi,303
2,1,2,aqi,-0.664,0.547,2_aqi,304
3,1,1,aqi,-1.16,0.547,3_aqi,305
3,1,2,aqi,-1.386,0.547,3_aqi,306
4,1,1,aqi,0.324,0.547,4_aqi,307
4,1,2,aqi,-1.646,0.547,4_aqi,308
5,1,1,aqi,-0.709,0.547,5_aqi,309
5,1,2,aqi,1.539,0.547,5_aqi,310
6,1,1,aqi,0.301,0.547,6_aqi,311
6,1,2,aqi,-0.263,0.547,6_aqi,312
7,1,1,aqi,-0.142,0.547,7_aqi,313
7,1,2,aqi,-1.536,0.547,7_aqi,314
8,1,1,aqi,-1.376,0.547,8_aqi,315
8,1,2,aqi,-0.442,0.547,8_aqi,316
9,1,1,aqi,-1.262,0.547,9_aqi,317
9,1,2,aqi,-0.1,0.547,9_aqi,318
10,1,1,aqi,-1.207,0.547,10_aqi,319
10,1,2,aqi,-0.14,0.547,10_aqi,320
11,1,1,aqi,-1.224,0.547,11_aqi,321
11,1,2,aqi,-1.287,0.547,11_aqi,322
12,1,1,aqi,-0.125,0.547,12_aqi,323
12,1,2,aqi,0.405,0.547,12_aqi,324
13,1,1,aqi,-0.466,0.547,13_aqi,325
13,1,2,aqi,-1.67,0.547,13_aqi,326
14,1,1,aqi,1.189,0.547,14_aqi,327
14,1,2,aqi,-0.005,0.547,14_aqi,328
15,1,1,aqi,0.015,0.547,15_aqi,329
15,1,2,aqi,-0.06,0.547,15_aqi,330
16,1,1,aqi,-0.017,0.547,16_aqi,331
16,1,2,aqi,1.066,0.547,16_aqi,332
17,1,1,aqi,-1.069,0.547,17_aqi,333
17,1,2,aqi,-1.66,0.547,17_aqi,334
18,1,1,aqi,1.321,0.547,18_aqi,335
18,1,2,aqi,1.619,0.547,18_aqi,336
19,1,1,aqi,0.047,0.547,19_aqi,337
19,1,2,aqi,1.476,0.547,19_aqi,338
20,1,1,aqi,-0.463,0.547,20_aqi,339
20,1,2,aqi,-1.221,0.547,20_aqi,340
21,1,1,aqi,0.352,0.547,21_aqi,341
21,1,2,aqi,-0.347,0.547,21_aqi,342
22,1,1,aqi,1.056,0.547,22_aqi,343
22,1,2,aqi,-1.265,0.547,22_aqi,344
23,1,1,aqi,-0.843,0.547,23_aqi,345
23,1,2,aqi,0.312,0.547,23_aqi,346
24,1,1,aqi,-0.54,0.547,24_aqi,347
24,1,2,aqi,-0.998,0.547,24_aqi,348
25,1,1,aqi,0.446,0.547,25_aqi,349
25,1,2,aqi,0.575,0.547,25_aqi,350
26,1,1,aqi,0.784,0.547,26_aqi,351
26,1,2,aqi,-1.271,0.547,26_aqi,352
27,1,1,aqi,-0.176,0.547,27_aqi,353
27,1,2,aqi,-0.714,0.547,27_aqi,354
28,1,1,aqi,1.525,0.547,28_aqi,355
28,1,2,aqi,0.812,0.547,28_aqi,356
29,1,1,aqi,0.137,0.547,29_aqi,357
29,1,2,aqi,0.033,0.547,29_aqi,358
30,1,1,aqi,-1.052,0.547,30_aqi,359
30,1,2,aqi,0.095,0.547,30_aqi,360
31,1,1,aqi,-1.001,0.547,31_aqi,361
31,1,2,aqi,0.904,0.547,31_aqi,362
32,1,1,aqi,-1.362,0.547,32_aqi,363
32,1,2,aqi,-1.143,0.547,32_aqi,364
33,1,1,aqi,0.866,0.547,33_aqi,365
33,1,2,aqi,1.335,0.547,33_aqi,366
34,1,1,aqi,-1.153,0.547,34_aqi,367
34,1,2,aqi,-0.228,0.547,34_aqi,368
35,1,1,aqi,-0.173,0.547,35_aqi,369
35,1,2,aqi,0.732,0.547,35_aqi,370
36,1,1,aqi,-1.55,0.547,36_aqi,371
36,1,2,aqi,0.16,0.547,36_aqi,372
37,1,1,aqi,0.342,0.547,37_aqi,373
37,1,2,aqi,-0.431,0.547,37_aqi,374
38,1,1,aqi,0.926,0.547,38_aqi,375
38,1,2,aqi,-1.108,0.547,38_aqi,376
39,1,1,aqi,1.033,0.547,39_aqi,377
39,1,2,aqi,0.389,0.547,39_aqi,378
40,1,1,aqi,-0.76,0.547,40_aqi,379
40,1,2,aqi,0.879,0.547,40_aqi,380
41,1,1,aqi,-0.714,0.547,41_aqi,381
41,1,2,aqi,1.231,0.547,41_aqi,382
42,1,1,aqi,0.037,0.547,42_aqi,383
42,1,2,aqi,-0.286,0.547,42_aqi,384
43,1,1,aqi,-1.614,0.547,43_aqi,385
43,1,2,aqi,-0.064,0.547,43_aqi,386
44,1,1,aqi,1.158,0.547,44_aqi,387
44,1,2,aqi,-1.451,0.547,44_aqi,388
45,1,1,aqi,-0.948,0.547,45_aqi,389
45,1,2,aqi,-0.092,0.547,45_aqi,390
46,1,1,aqi,1.431,0.547,46_aqi,391
46,1,2,aqi,-0.191,0.547,46_aqi,392
47,1,1,aqi,0.207,0.547,47_aqi,393
47,1,2,aqi,1.424,0.547,47_aqi,394
48,1,1,aqi,1.099,0.547,48_aqi,395
48,1,2,aqi,1.655,0.547,48_aqi,396
49,1,1,aqi,-1.113,0.547,49_aqi,397
49,1,2,aqi,-0.067,0.547,49_aqi,398
50,1,1,aqi,0.095,0.547,50_aqi,399
50,1,2,aqi,1.003,0.547,50_aqi,400
51,1,1,aqi,1.682,0.547,51_aqi,401
51,1,2,aqi,1.677,0.547,51_aqi,402
52,1,1,aqi,-0.0,0.547,52_aqi,403
52,1,2,aqi,-1.584,0.547,52_aqi,404
53,1,1,aqi,0.94,0.547,53_aqi,405
53,1,2,aqi,-0.28,0.547,53_aqi,406
54,1,1,aqi,1.654,0.547,54_aqi,407
54,1,2,aqi,0.586,0.547,54_aqi,408
55,1,1,aqi,-0.485,0.547,55_aqi,409
55,1,2,aqi,-0.688,0.547,55_aqi,410
56,1,1,aqi,1.713,0.547,56_aqi,411
56,1,2,aqi,-1.067,0.547,56_aqi,412
57,1,1,aqi,-0.08,0.547,57_aqi,413
57,1,2,aqi,-0.318,0.547,57_aqi,414
58,1,1,aqi,-0.719,0.547,58_aqi,415
58,1,2,aqi,1.363,0.547,58_aqi,416
59,1,1,aqi,-1.557,0.547,59_aqi,417
59,1,2,aqi,1.083,0.547,59_aqi,418
60,1,1,aqi,0.804,0.547,60_aqi,419
60,1,2,aqi,0.268,0.547,60_aqi,420
61,1,1,aqi,1.158,0.547,61_aqi,421
61,1,2,aqi,0.967,0.547,61_aqi,422
62,1,1,aqi,1.54,0.547,62_aqi,423
62,1,2,aqi,1.42,0.547,62_aqi,424
63,1,1,aqi,-0.609,0.547,63_aqi,425
63,1,2,aqi,0.558,0.547,63_aqi,426
64,1,1,aqi,-0.321,0.547,64_aqi,427
64,1,2,aqi,-0.499,0.547,64_aqi,428
65,1,1,aqi,-1.435,0.547,65_aqi,429
65,1,2,aqi,1.735,0.547,65_aqi,430
66,1,1,aqi,-0.165,0.547,66_aqi,431
66,1,2,aqi,-0.394,0.547,66_aqi,432
67,1,1,aqi,-0.852,0.547,67_aqi,433
67,1,2,aqi,0.21,0.547,67_aqi,434
68,1,1,aqi,-1.44,0.547,68_aqi,435
68,1,2,aqi,-1.551,0.547,68_aqi,436
69,1,1,aqi,1.225,0.547,69_aqi,437
69,1,2,aqi,-1.623,0.547,69_aqi,438
70,1,1,aqi,0.517,0.547,70_aqi,439
70,1,2,aqi,1.548,0.547,70_aqi,440
71,1,1,aqi,-0.766,0.547,71_aqi,441
71,1,2,aqi,1.67,0.547,71_aqi,442
72,1,1,aqi,1.252,0.547,72_aqi,443
72,1,2,aqi,-1.423,0.547,72_aqi,444
73,1,1,aqi,-0.858,0.547,73_aqi,445
73,1,2,aqi,0.771,0.547,73_aqi,446
74,1,1,aqi,-1.38,0.547,74_aqi,447
74,1,2,aqi,-0.905,0.547,74_aqi,448
75,1,1,aqi,-0.4,0.547,75_aqi,449
75,1,2,aqi,0.359,0.547,75_aqi,450
76,1,1,aqi,-1.325,0.547,76_aqi,451
76,1,2,aqi,-1.041,0.547,76_aqi,452
77,1,1,aqi,-0.569,0.547,77_aqi,453
77,1,2,aqi,1.745,0.547,77_aqi,454
78,1,1,aqi,0.767,0.547,78_aqi,455
78,1,2,aqi,-1.117,0.547,78_aqi,456
79,1,1,aqi,1.509,0.547,79_aqi,457
79,1,2,aqi,-1.238,0.547,79_aqi,458
80,1,1,aqi,0.214,0.547,80_aqi,459
80,1,2,aqi,-0.928,0.547,80_aqi,460
81,1,1,aqi,0.466,0.547,81_aqi,461
81,1,2,aqi,-1.506,0.547,81_aqi,462
82,1,1,aqi,1.233,0.547,82_aqi,463
82,1,2,aqi,0.331,0.547,82_aqi,464
83,1,1,aqi,-1.251,0.547,83_aqi,465
83,1,2,aqi,-0.193,0.547,83_aqi,466
84,1,1,aqi,-1.371,0.547,84_aqi,467
84,1,2,aqi,1.138,0.547,84_aqi,468
85,1,1,aqi,0.687,0.547,85_aqi,469
85,1,2,aqi,-0.193,0.547,85_aqi,470
86,1,1,aqi,-1.713,0.547,86_aqi,471
86,1,2,aqi,0.74,0.547,86_aqi,472
87,1,1,aqi,-0.074,0.547,87_aqi,473
87,1,2,aqi,-0.524,0.547,87_aqi,474
88,1,1,aqi,-0.17,0.547,88_aqi,475
88,1,2,aqi,-1.419,0.547,88_aqi,476
89,1,1,aqi,0.376,0.547,89_aqi,477
89,1,2,aqi,0.329,0.547,89_aqi,478
90,1,1,aqi,-1.433,0.547,90_aqi,479
90,1,2,aqi,1.335,0.547,90_aqi,480
91,1,1,aqi,-0.679,0.547,91_aqi,481
91,1,2,aqi,0.82,0.547,91_aqi,482
92,1,1,aqi,0.801,0.547,92_aqi,483
92,1,2,aqi,-0.753,0.547,92_aqi,484
93,1,1,aqi,0.917,0.547,93_aqi,485
93,1,2,aqi,-0.276,0.547,93_aqi,486
94,1,1,aqi,1.205,0.547,94_aqi,487
94,1,2,aqi,-0.737,0.547,94_aqi,488
95,1,1,aqi,-0.086,0.547,95_aqi,489
95,1,2,aqi,0.776,0.547,95_aqi,490
96,1,1,aqi,1.099,0.547,96_aqi,491
96,1,2,aqi,1.295,0.547,96_aqi,492
97,1,1,aqi,-1.057,0.547,97_aqi,493
97,1,2,aqi,0.697,0.547,97_aqi,494
98,1,1,aqi,-0.906,0.547,98_aqi,495
98,1,2,aqi,-0.883,0.547,98_aqi,496
99,1,1,aqi,1.051,0.547,99_aqi,497
99,1,2,aqi,-0.049,0.547,99_aqi,498
100,1,1,aqi,1.025,0.547,100_aqi,499
100,1,2,aqi,1.492,0.547,100_aqi,500
101,1,1,aqi,0.757,0.547,101_aqi,501
101,1,2,aqi,0.084,0.547,101_aqi,502
102,1,1,aqi,0.681,0.547,102_aqi,503
102,1,2,aqi,-0.315,0.547,102_aqi,504
103,1,1,aqi,-1.479,0.547,103_aqi,505
103,1,2,aqi,-0.159,0.547,103_aqi,506
104,1,1,aqi,-0.831,0.547,104_aqi,507
104,1,2,aqi,1.064,0.547,104_aqi,508
105,1,1,aqi,1.753,0.547,105_aqi,509
105,1,2,aqi,-1.428,0.547,105_aqi,510
106,1,1,aqi,1.056,0.547,106_aqi,511
106,1,2,aqi,1.549,0.547,106_aqi,512
107,1,1,aqi,0.562,0.547,107_aqi,513
107,1,2,aqi,0.061,0.547,107_aqi,514
108,1,1,aqi,0.553,0.547,108_aqi,515
108,1,2,aqi,-1.197,0.547,108_aqi,516
109,1,1,aqi,0.283,0.547,109_aqi,517
109,1,2,aqi,0.116,0.547,109_aqi,518
110,1,1,aqi,0.557,0.547,110_aqi,519
110,1,2,aqi,-0.477,0.547,110_aqi,520
111,1,1,aqi,-0.221,0.547,111_aqi,521
111,1,2,aqi,0.597,0.547,111_aqi,522
112,1,1,aqi,0.799,0.547,112_aqi,523
112,1,2,aqi,-1.446,0.547,112_aqi,524
113,1,1,aqi,-0.568,0.547,113_aqi,525
113,1,2,aqi,-0.167,0.547,113_aqi,526
114,1,1,aqi,-0.953,0.547,114_aqi,527
114,1,2,aqi,-1.18,0.547,114_aqi,528
115,1,1,aqi,1.564,0.547,115_aqi,529
115,1,2,aqi,1.681,0.547,115_aqi,530
116,1,1,aqi,0.169,0.547,116_aqi,531
116,1,2,aqi,-0.936,0.547,116_aqi,532
117,1,1,aqi,1.487,0.547,117_aqi,533
117,1,2,aqi,1.468,0.547,117_aqi,534
118,1,1,aqi,-0.111,0.547,118_aqi,535
118,1,2,aqi,0.729,0.547,118_aqi,536
119,1,1,aqi,-0.347,0.547,119_aqi,537
119,1,2,aqi,0.583,0.547,119_aqi,538
120,1,1,aqi,1.221,0.547,120_aqi,539
120,1,2,aqi,0.27,0.547,120_aqi,540
121,1,1,aqi,-0.969,0.547,121_aqi,541
121,1,2,aqi,0.35,0.547,121_aqi,542
122,1,1,aqi,-0.614,0.547,122_aqi,543
122,1,2,aqi,-1.061,0.547,122_aqi,544
123,1,1,aqi,0.721,0.547,123_aqi,545
123,1,2,aqi,0.339,0.547,123_aqi,546
124,1,1,aqi,1.69,0.547,124_aqi,547
124,1,2,aqi,0.03,0.547,124_aqi,548
