ID,Variable,Value,mean_value,subject_variable,row_number
2,fd_perc,,20.709,2_fd_perc,135
2,fd_perc,-1.429,20.709,2_fd_perc,136
2,fd_perc,,20.709,2_fd_perc,137
2,fd_perc,,20.709,2_fd_perc,138
2,fd_perc,,20.709,2_fd_perc,139
2,fd_perc,,20.709,2_fd_perc,140
2,fd_perc,,20.709,2_fd_perc,141
3,fd_perc,-1.098,20.709,3_fd_perc,142
3,fd_perc,1.093,20.709,3_fd_perc,143
3,fd_perc,0.955,20.709,3_fd_perc,144
3,fd_perc,,20.709,3_fd_perc,145
3,fd_perc,,20.709,3_fd_perc,146
3,fd_perc,,20.709,3_fd_perc,147
3,fd_perc,,20.709,3_fd_perc,148
3,fd_perc,,20.709,3_fd_perc,149
4,fd_perc,,20.709,4_fd_perc,150
4,fd_perc,0.675,20.709,4_fd_perc,151
4,fd_perc,-0.485,20.709,4_fd_perc,152
5,fd_perc,-1.144,20.709,5_fd_perc,153
5,fd_perc,-0.153,20.709,5_fd_perc,154
5,fd_perc,1.043,20.709,5_fd_perc,155
1,gcor,-0.634,0.169,1_gcor,156
1,gcor,-0.441,0.169,1_gcor,157
1,gcor,0.314,0.169,1_gcor,158
1,gcor,,0.169,1_gcor,159
1,gcor,,0.169,1_gcor,160
1,gcor,,0.169,1_gcor,161
1,gcor,,0.169,1_gcor,162
1,gcor,,0.169,1_gcor,163
1,gcor,,0.169,1_gcor,164
2,gcor,-1.293,0.169,2_gcor,165
2,gcor,-0.885,0.169,2_gcor,166
2,gcor,2.293,0.169,2_gcor,167
2,gcor,,0.169,2_gcor,168
2,gcor,,0.169,2_gcor,169
2,gcor,,0.169,2_gcor,170
2,gcor,,0.169,2_gcor,171
2,gcor,,0.169,2_gcor,172
3,gcor,-0.396,0.169,3_gcor,173
3,gcor,-0.404,0.169,3_gcor,174
3,gcor,0.206,0.169,3_gcor,175
3,gcor,,0.169,3_gcor,176
3,gcor,,0.169,3_gcor,177
3,gcor,,0.169,3_gcor,178
3,gcor,,0.169,3_gcor,179
3,gcor,,0.169,3_gcor,180
4,gcor,0.233,0.169,4_gcor,181
4,gcor,1.226,0.169,4_gcor,182
4,gcor,-0.257,0.169,4_gcor,183
5,gcor,-0.196,0.169,5_gcor,184
5,gcor,-1.213,0.169,5_gcor,185
5,gcor,1.449,0.169,5_gcor,186
1,gsr_x,0.193,0.032,1_gsr_x,187
1,gsr_x,-0.68,0.032,1_gsr_x,188
1,gsr_x,0.075,0.032,1_gsr_x,189
1,gsr_x,,0.032,1_gsr_x,190
1,gsr_x,,0.032,1_gsr_x,191
1,gsr_x,,0.032,1_gsr_x,192
1,gsr_x,,0.032,1_gsr_x,193
1,gsr_x,,0.032,1_gsr_x,194
1,gsr_x,,0.032,1_gsr_x,195
2,gsr_x,0.908,0.032,2_gsr_x,196
2,gsr_x,0.861,0.032,2_gsr_x,197
2,gsr_x,-1.034,0.032,2_gsr_x,198
2,gsr_x,,0.032,2_gsr_x,199
2,gsr_x,,0.032,2_gsr_x,200
2,gsr_x,,0.032,2_gsr_x,201
2,gsr_x,,0.032,2_gsr_x,202
2,gsr_x,,0.032,2_gsr_x,203
3,gsr_x,-0.921,0.032,3_gsr_x,204
3,gsr_x,-1.909,0.032,3_gsr_x,205
3,gsr_x,1.175,0.032,3_gsr_x,206
3,gsr_x,,0.032,3_gsr_x,207
3,gsr_x,,0.032,3_gsr_x,208
3,gsr_x,,0.032,3_gsr_x,209
3,gsr_x,,0.032,3_gsr_x,210
3,gsr_x,,0.032,3_gsr_x,211
4,gsr_x,0.377,0.032,4_gsr_x,212
4,gsr_x,-0.028,0.032,4_gsr_x,213
4,gsr_x,0.808,0.032,4_gsr_x,214
5,gsr_x,0.78,0.032,5_gsr_x,215
5,gsr_x,-1.607,0.032,5_gsr_x,216
5,gsr_x,1.001,0.032,5_gsr_x,217
1,gsr_y,-0.235,0.031,1_gsr_y,218
1,gsr_y,1.468,0.031,1_gsr_y,219
1,gsr_y,-1.548,0.031,1_gsr_y,220
1,gsr_y,,0.031,1_gsr_y,221
1,gsr_y,,0.031,1_gsr_y,222
1,gsr_y,,0.031,1_gsr_y,223
1,gsr_y,,0.031,1_gsr_y,224
1,gsr_y,,0.031,1_gsr_y,225
1,gsr_y,,0.031,1_gsr_y,226
2,gsr_y,-1.018,0.031,2_gsr_y,227
2,gsr_y,0.131,0.031,2_gsr_y,228
2,gsr_y,,0.031,2_gsr_y,229
2,gsr_y,,0.031,2_gsr_y,230
2,gsr_y,,0.031,2_gsr_y,231
2,gsr_y,,0.031,2_gsr_y,232
2,gsr_y,,0.031,2_gsr_y,233
2,gsr_y,,0.031,2_gsr_y,234
3,gsr_y,-0.004,0.031,3_gsr_y,235
3,gsr_y,-0.476,0.031,3_gsr_y,236
3,gsr_y,0.493,0.031,3_gsr_y,237
3,gsr_y,,0.031,3_gsr_y,238
3,gsr_y,,0.031,3_gsr_y,239
3,gsr_y,,0.031,3_gsr_y,240
3,gsr_y,,0.031,3_gsr_y,241
3,gsr_y,,0.031,3_gsr_y,242
4,gsr_y,-1.381,0.031,4_gsr_y,243
4,gsr_y,-0.035,0.031,4_gsr_y,244
4,gsr_y,1.372,0.031,4_gsr_y,245
5,gsr_y,0.561,0.031,5_gsr_y,246
5,gsr_y,1.463,0.031,5_gsr_y,247
5,gsr_y,-0.789,0.031,5_gsr_y,248
1,tsnr,-1.451,233.077,1_tsnr,249
1,tsnr,-0.597,233.077,1_tsnr,250
1,tsnr,0.726,233.077,1_tsnr,251
1,tsnr,,233.077,1_tsnr,252
1,tsnr,,233.077,1_tsnr,253
1,tsnr,,233.077,1_tsnr,254
1,tsnr,,233.077,1_tsnr,255
1,tsnr,,233.077,1_tsnr,256
1,tsnr,,233.077,1_tsnr,257
2,tsnr,0.177,233.077,2_tsnr,258
2,tsnr,-0.66,233.077,2_tsnr,259
2,tsnr,0.605,233.077,2_tsnr,260
2,tsnr,,233.077,2_tsnr,261
2,tsnr,,233.077,2_tsnr,262
2,tsnr,,233.077,2_tsnr,263
2,tsnr,,233.077,2_tsnr,264
2,tsnr,,233.077,2_tsnr,265
3,tsnr,0.825,233.077,3_tsnr,266
3,tsnr,0.883,233.077,3_tsnr,267
3,tsnr,0.084,233.077,3_tsnr,268
3,tsnr,,233.077,3_tsnr,269
3,tsnr,,233.077,3_tsnr,270
3,tsnr,,233.077,3_tsnr,271
3,tsnr,,233.077,3_tsnr,272
3,tsnr,,233.077,3_tsnr,273
4,tsnr,-1.822,233.077,4_tsnr,274
4,tsnr,0.871,233.077,4_tsnr,275
4,tsnr,0.875,233.077,4_tsnr,276
5,tsnr,0.4,233.077,5_tsnr,277
5,tsnr,-1.74,233.077,5_tsnr,278
5,tsnr,0.825,233.077,5_tsnr,279
